trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.corr,key_resp.rt,tilt,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,10.903854167088866,11.89170837495476,11.912640542257577,down,1,1.3087961645796895,-2,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
1,0,1,0,13.276285792235285,14.217765500303358,14.26835266733542,down,1,0.7485084566287696,2,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
2,0,2,0,14.978912208229303,15.967975333333015,15.967975333333015,down,1,0.7568478318862617,1,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
3,0,3,0,16.738849875051528,17.73519333312288,17.73519333312288,down,1,0.5594557486474514,3,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
4,0,4,0,18.3027884173207,19.295834167394787,19.295834167394787,up,1,2.673142998944968,0,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
5,0,5,0,21.99784570839256,22.998248833231628,22.998248833231628,up,0,0.6390640395693481,-2,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
6,0,6,0,23.65668116696179,24.648706583306193,24.665225292090327,up,1,0.8430218733847141,0,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
7,0,7,0,25.515072208363563,26.51478008320555,26.51478008320555,up,1,0.6983244153670967,0,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
8,0,8,0,27.231300916988403,28.23114512534812,28.23114512534812,up,0,0.5982251232489944,-3,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
9,0,9,0,28.837174833286554,29.83161983313039,29.847976624965668,down,1,0.5989511646330357,3,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
