1.5440 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
7.5346 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1440, 900]. Using actual size
8.2327 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fb530d85eb0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7fb4f0a7d9d0>, multiSample=False, name='window1', numSamples=2, pos=[360.0, 225.0], screen=0, size=array([2880, 1800]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
8.2335 	EXP 	window1: mouseVisible = True
8.2348 	EXP 	window1: mouseVisible = False
8.2349 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
8.2349 	EXP 	window1: recordFrameIntervals = False
8.3992 	EXP 	window1: recordFrameIntervals = True
8.5810 	EXP 	Screen (0) actual frame rate measured at 60.28Hz
8.5810 	EXP 	window1: recordFrameIntervals = False
10.8797 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1, 1, 1]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10., 10.]), units='pix', vertices=ndarray(...), win=Window(...), windingRule=None)
10.8889 	EXP 	Created grating = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([0.3, 0.3, 0.3]), colorSpace='rgb', contrast=0.3, depth=-1.0, interpolate=True, mask='gauss', maskParams=None, name='grating', opacity=1.0, ori=1.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([5., 5.]), size=array([0.2, 0.2]), tex='sin', texRes=128.0, units='height', win=Window(...))
10.8918 	EXP 	Created sequence: random, trialTypes=1, nReps=100, seed=None
10.8922 	EXP 	New trial (rep=0, index=0): None
10.9039 	EXP 	grating: ori = -2.0
10.9039 	EXP 	fixation: autoDraw = True
11.8917 	EXP 	grating: autoDraw = True
11.8917 	EXP 	grating: tex = 'sin'
11.9126 	EXP 	fixation: autoDraw = False
12.1852 	EXP 	grating: autoDraw = False
13.2243 	EXP 	New trial (rep=1, index=0): None
13.2712 	DATA 	Keypress: down
13.2763 	EXP 	fixation: autoDraw = False
13.2763 	EXP 	grating: autoDraw = False
13.2763 	EXP 	grating: ori = 2.0
13.2763 	EXP 	fixation: autoDraw = True
14.2178 	EXP 	grating: autoDraw = True
14.2684 	EXP 	fixation: autoDraw = False
14.5127 	EXP 	grating: autoDraw = False
14.9712 	EXP 	New trial (rep=2, index=0): None
14.9732 	DATA 	Keypress: down
14.9789 	EXP 	fixation: autoDraw = False
14.9789 	EXP 	grating: autoDraw = False
14.9789 	EXP 	grating: ori = 1.0
14.9789 	EXP 	fixation: autoDraw = True
15.9680 	EXP 	fixation: autoDraw = False
15.9680 	EXP 	grating: autoDraw = True
16.2627 	EXP 	grating: autoDraw = False
16.7323 	EXP 	New trial (rep=3, index=0): None
16.7342 	DATA 	Keypress: down
16.7388 	EXP 	fixation: autoDraw = False
16.7388 	EXP 	grating: autoDraw = False
16.7388 	EXP 	grating: ori = 3.0
16.7388 	EXP 	fixation: autoDraw = True
17.7352 	EXP 	fixation: autoDraw = False
17.7352 	EXP 	grating: autoDraw = True
18.0292 	EXP 	grating: autoDraw = False
18.2982 	EXP 	New trial (rep=4, index=0): None
18.3028 	EXP 	fixation: autoDraw = False
18.3028 	EXP 	grating: autoDraw = False
18.3028 	EXP 	grating: ori = 0.0
18.3028 	EXP 	fixation: autoDraw = True
18.3044 	DATA 	Keypress: down
19.2958 	EXP 	fixation: autoDraw = False
19.2958 	EXP 	grating: autoDraw = True
19.5850 	EXP 	grating: autoDraw = False
21.9859 	EXP 	New trial (rep=5, index=0): None
21.9889 	DATA 	Keypress: up
21.9978 	EXP 	fixation: autoDraw = False
21.9978 	EXP 	grating: autoDraw = False
21.9978 	EXP 	grating: ori = -2.0
21.9978 	EXP 	fixation: autoDraw = True
22.9982 	EXP 	fixation: autoDraw = False
22.9982 	EXP 	grating: autoDraw = True
23.2979 	EXP 	grating: autoDraw = False
23.6491 	EXP 	New trial (rep=6, index=0): None
23.6512 	DATA 	Keypress: up
23.6567 	EXP 	fixation: autoDraw = False
23.6567 	EXP 	grating: autoDraw = False
23.6567 	EXP 	grating: ori = 0.0
23.6567 	EXP 	fixation: autoDraw = True
24.6487 	EXP 	grating: autoDraw = True
24.6652 	EXP 	fixation: autoDraw = False
24.9480 	EXP 	grating: autoDraw = False
25.5003 	EXP 	New trial (rep=7, index=0): None
25.5018 	DATA 	Keypress: up
25.5151 	EXP 	fixation: autoDraw = False
25.5151 	EXP 	grating: autoDraw = False
25.5151 	EXP 	grating: ori = 0.0
25.5151 	EXP 	fixation: autoDraw = True
26.5148 	EXP 	fixation: autoDraw = False
26.5148 	EXP 	grating: autoDraw = True
26.8145 	EXP 	grating: autoDraw = False
27.2193 	EXP 	New trial (rep=8, index=0): None
27.2221 	DATA 	Keypress: up
27.2313 	EXP 	fixation: autoDraw = False
27.2313 	EXP 	grating: autoDraw = False
27.2313 	EXP 	grating: ori = -3.0
27.2313 	EXP 	fixation: autoDraw = True
28.2311 	EXP 	fixation: autoDraw = False
28.2311 	EXP 	grating: autoDraw = True
28.5320 	EXP 	grating: autoDraw = False
28.8320 	EXP 	New trial (rep=9, index=0): None
28.8372 	EXP 	fixation: autoDraw = False
28.8372 	EXP 	grating: autoDraw = False
28.8372 	EXP 	grating: ori = 3.0
28.8372 	EXP 	fixation: autoDraw = True
28.8412 	DATA 	Keypress: up
29.8316 	EXP 	grating: autoDraw = True
29.8480 	EXP 	fixation: autoDraw = False
30.1314 	EXP 	grating: autoDraw = False
30.4358 	EXP 	New trial (rep=10, index=0): None
30.4387 	DATA 	Keypress: down
30.4482 	EXP 	fixation: autoDraw = False
30.4482 	EXP 	grating: autoDraw = False
30.4482 	EXP 	grating: ori = 0.0
30.4482 	EXP 	fixation: autoDraw = True
31.4481 	EXP 	fixation: autoDraw = False
31.4481 	EXP 	grating: autoDraw = True
31.7482 	EXP 	grating: autoDraw = False
32.6029 	EXP 	New trial (rep=11, index=0): None
32.6058 	DATA 	Keypress: down
32.6150 	EXP 	fixation: autoDraw = False
32.6150 	EXP 	grating: autoDraw = False
32.6150 	EXP 	grating: ori = -5.0
32.6150 	EXP 	fixation: autoDraw = True
33.6148 	EXP 	fixation: autoDraw = False
33.6148 	EXP 	grating: autoDraw = True
33.9147 	EXP 	grating: autoDraw = False
34.1846 	EXP 	New trial (rep=12, index=0): None
34.1875 	DATA 	Keypress: down
34.1991 	EXP 	fixation: autoDraw = False
34.1991 	EXP 	grating: autoDraw = False
34.1991 	EXP 	grating: ori = -5.0
34.1991 	EXP 	fixation: autoDraw = True
35.1984 	EXP 	fixation: autoDraw = False
35.1984 	EXP 	grating: autoDraw = True
35.4981 	EXP 	grating: autoDraw = False
35.7693 	EXP 	New trial (rep=13, index=0): None
35.7722 	DATA 	Keypress: down
35.7812 	EXP 	fixation: autoDraw = False
35.7812 	EXP 	grating: autoDraw = False
35.7812 	EXP 	grating: ori = 3.0
35.7812 	EXP 	fixation: autoDraw = True
36.7814 	EXP 	fixation: autoDraw = False
36.7814 	EXP 	grating: autoDraw = True
37.0814 	EXP 	grating: autoDraw = False
37.4183 	EXP 	New trial (rep=14, index=0): None
37.4205 	DATA 	Keypress: down
37.4317 	EXP 	fixation: autoDraw = False
37.4317 	EXP 	grating: autoDraw = False
37.4317 	EXP 	grating: ori = 0.0
37.4317 	EXP 	fixation: autoDraw = True
38.4312 	EXP 	fixation: autoDraw = False
38.4312 	EXP 	grating: autoDraw = True
38.7322 	EXP 	grating: autoDraw = False
40.1391 	EXP 	New trial (rep=15, index=0): None
40.1416 	DATA 	Keypress: down
40.1466 	EXP 	fixation: autoDraw = False
40.1466 	EXP 	grating: autoDraw = False
40.1466 	EXP 	grating: ori = -5.0
40.1466 	EXP 	fixation: autoDraw = True
41.1484 	EXP 	fixation: autoDraw = False
41.1484 	EXP 	grating: autoDraw = True
41.4486 	EXP 	grating: autoDraw = False
41.8015 	EXP 	New trial (rep=16, index=0): None
41.8044 	DATA 	Keypress: down
41.8151 	EXP 	fixation: autoDraw = False
41.8151 	EXP 	grating: autoDraw = False
41.8151 	EXP 	grating: ori = 0.0
41.8151 	EXP 	fixation: autoDraw = True
42.8155 	EXP 	fixation: autoDraw = False
42.8155 	EXP 	grating: autoDraw = True
43.1149 	EXP 	grating: autoDraw = False
43.6176 	EXP 	New trial (rep=17, index=0): None
43.6201 	DATA 	Keypress: up
43.6242 	EXP 	fixation: autoDraw = False
43.6242 	EXP 	grating: autoDraw = False
43.6242 	EXP 	grating: ori = 0.0
43.6242 	EXP 	fixation: autoDraw = True
44.6134 	EXP 	grating: autoDraw = True
44.6196 	EXP 	fixation: autoDraw = False
44.9013 	EXP 	grating: autoDraw = False
45.2519 	EXP 	New trial (rep=18, index=0): None
45.2543 	DATA 	Keypress: up
45.2657 	EXP 	fixation: autoDraw = False
45.2657 	EXP 	grating: autoDraw = False
45.2657 	EXP 	grating: ori = 0.0
45.2657 	EXP 	fixation: autoDraw = True
46.2653 	EXP 	fixation: autoDraw = False
46.2653 	EXP 	grating: autoDraw = True
46.5653 	EXP 	grating: autoDraw = False
46.9026 	EXP 	New trial (rep=19, index=0): None
46.9054 	DATA 	Keypress: up
46.9151 	EXP 	fixation: autoDraw = False
46.9151 	EXP 	grating: autoDraw = False
46.9151 	EXP 	grating: ori = 2.0
46.9151 	EXP 	fixation: autoDraw = True
47.9151 	EXP 	fixation: autoDraw = False
47.9151 	EXP 	grating: autoDraw = True
48.2153 	EXP 	grating: autoDraw = False
48.5031 	EXP 	New trial (rep=20, index=0): None
48.5059 	DATA 	Keypress: down
48.5150 	EXP 	fixation: autoDraw = False
48.5150 	EXP 	grating: autoDraw = False
48.5150 	EXP 	grating: ori = -2.0
48.5150 	EXP 	fixation: autoDraw = True
49.5154 	EXP 	fixation: autoDraw = False
49.5154 	EXP 	grating: autoDraw = True
49.8152 	EXP 	grating: autoDraw = False
50.1859 	EXP 	New trial (rep=21, index=0): None
50.1887 	DATA 	Keypress: down
50.1988 	EXP 	fixation: autoDraw = False
50.1988 	EXP 	grating: autoDraw = False
50.1988 	EXP 	grating: ori = 3.0
50.1988 	EXP 	fixation: autoDraw = True
51.1987 	EXP 	fixation: autoDraw = False
51.1987 	EXP 	grating: autoDraw = True
51.4986 	EXP 	grating: autoDraw = False
51.8029 	EXP 	New trial (rep=22, index=0): None
51.8058 	DATA 	Keypress: down
51.8151 	EXP 	fixation: autoDraw = False
51.8151 	EXP 	grating: autoDraw = False
51.8151 	EXP 	grating: ori = 0.0
51.8151 	EXP 	fixation: autoDraw = True
52.8146 	EXP 	fixation: autoDraw = False
52.8146 	EXP 	grating: autoDraw = True
53.1152 	EXP 	grating: autoDraw = False
53.6027 	EXP 	New trial (rep=23, index=0): None
53.6056 	DATA 	Keypress: up
53.6154 	EXP 	fixation: autoDraw = False
53.6154 	EXP 	grating: autoDraw = False
53.6154 	EXP 	grating: ori = -4.0
53.6154 	EXP 	fixation: autoDraw = True
54.6153 	EXP 	fixation: autoDraw = False
54.6153 	EXP 	grating: autoDraw = True
54.9159 	EXP 	grating: autoDraw = False
55.2360 	EXP 	New trial (rep=24, index=0): None
55.2389 	DATA 	Keypress: down
55.2485 	EXP 	fixation: autoDraw = False
55.2485 	EXP 	grating: autoDraw = False
55.2485 	EXP 	grating: ori = 0.0
55.2485 	EXP 	fixation: autoDraw = True
56.2489 	EXP 	fixation: autoDraw = False
56.2489 	EXP 	grating: autoDraw = True
56.5488 	EXP 	grating: autoDraw = False
57.0030 	EXP 	New trial (rep=25, index=0): None
57.0059 	DATA 	Keypress: up
57.0154 	EXP 	fixation: autoDraw = False
57.0154 	EXP 	grating: autoDraw = False
57.0154 	EXP 	grating: ori = 2.0
57.0154 	EXP 	fixation: autoDraw = True
58.0158 	EXP 	fixation: autoDraw = False
58.0158 	EXP 	grating: autoDraw = True
58.3154 	EXP 	grating: autoDraw = False
58.6528 	EXP 	New trial (rep=26, index=0): None
58.6545 	DATA 	Keypress: down
58.6656 	EXP 	fixation: autoDraw = False
58.6656 	EXP 	grating: autoDraw = False
58.6656 	EXP 	grating: ori = 0.0
58.6656 	EXP 	fixation: autoDraw = True
59.6653 	EXP 	fixation: autoDraw = False
59.6653 	EXP 	grating: autoDraw = True
59.9653 	EXP 	grating: autoDraw = False
60.3360 	EXP 	New trial (rep=27, index=0): None
60.3389 	DATA 	Keypress: up
60.3487 	EXP 	fixation: autoDraw = False
60.3487 	EXP 	grating: autoDraw = False
60.3487 	EXP 	grating: ori = -5.0
60.3487 	EXP 	fixation: autoDraw = True
61.3489 	EXP 	fixation: autoDraw = False
61.3489 	EXP 	grating: autoDraw = True
61.6488 	EXP 	grating: autoDraw = False
61.8529 	EXP 	New trial (rep=28, index=0): None
61.8556 	DATA 	Keypress: down
61.8655 	EXP 	fixation: autoDraw = False
61.8655 	EXP 	grating: autoDraw = False
61.8655 	EXP 	grating: ori = -3.0
61.8655 	EXP 	fixation: autoDraw = True
62.8662 	EXP 	fixation: autoDraw = False
62.8662 	EXP 	grating: autoDraw = True
63.1653 	EXP 	grating: autoDraw = False
63.3361 	EXP 	New trial (rep=29, index=0): None
63.3390 	DATA 	Keypress: down
63.3489 	EXP 	fixation: autoDraw = False
63.3489 	EXP 	grating: autoDraw = False
